Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
12/17/2019,AXISBANK,EQ,747.25,747.6,756.5,741.35,745.25,745.65,749.78,9788065,7.33891E+14,,,
12/18/2019,AXISBANK,EQ,745.65,745.8,748.55,737.6,742.6,741.85,741.46,6678420,4.95175E+14,,,
12/19/2019,AXISBANK,EQ,741.85,743.1,750,740.65,744.2,742.55,745.01,8400708,6.25862E+14,,,
12/20/2019,AXISBANK,EQ,742.55,744.7,747,737.3,739,739.85,741.11,7019925,5.20251E+14,,,
12/23/2019,AXISBANK,EQ,739.85,736.9,748.6,735,744.8,743.15,743.74,10250382,7.62359E+14,,,
12/24/2019,AXISBANK,EQ,743.15,744.5,744.7,737.8,740,740.65,740.66,3642916,2.69816E+14,,,
12/26/2019,AXISBANK,EQ,740.65,737.5,740.65,733.9,739.9,736.5,736.96,7919368,5.83625E+14,,,
12/27/2019,AXISBANK,EQ,736.5,739,762,736.3,760.9,760.15,753.47,10736285,8.08943E+14,,,
12/30/2019,AXISBANK,EQ,760.15,760.9,765.75,751.05,756,754.1,757.22,10034206,7.59813E+14,,,
12/31/2019,AXISBANK,EQ,754.1,753.85,765.85,751.4,752.5,754.1,758.32,11660781,8.84255E+14,,,
1/1/2020,AXISBANK,EQ,754.1,754.9,759.95,747.2,748.75,748.7,751.81,4917748,3.69722E+14,,,
1/2/2020,AXISBANK,EQ,748.7,750,759,747.6,756,756.95,753.82,5156046,3.88674E+14,,,
1/3/2020,AXISBANK,EQ,756.95,753.15,756.25,740.5,742.4,742.95,746.33,8489729,6.33617E+14,,,
1/6/2020,AXISBANK,EQ,742.95,739.45,739.6,721.7,722,723.25,728.66,6356198,4.6315E+14,,,
1/7/2020,AXISBANK,EQ,723.25,728,738,721.05,726.95,725.75,728.4,9103360,6.63091E+14,,,
1/8/2020,AXISBANK,EQ,725.75,715.25,725.75,709.1,723.5,724.5,719.43,8973215,6.45564E+14,,,
1/9/2020,AXISBANK,EQ,724.5,733.55,745,731,740.8,742.85,740.73,7559853,5.59983E+14,,,
1/10/2020,AXISBANK,EQ,742.85,743,751.8,734.8,739.5,740.05,742.36,8550490,6.34755E+14,,,
1/13/2020,AXISBANK,EQ,740.05,740,746.75,735.35,737.8,737.4,740.28,6423758,4.75535E+14,,,
1/14/2020,AXISBANK,EQ,737.4,740,751.4,734.2,746.05,747.9,742.83,7237665,5.37638E+14,,,
1/15/2020,AXISBANK,EQ,747.9,747.05,749,738,745.25,746.3,742.81,7911661,5.87686E+14,,,
1/16/2020,AXISBANK,EQ,746.3,746.5,750.4,735.1,737.4,737.3,741.2,6487613,4.80864E+14,,,
1/17/2020,AXISBANK,EQ,737.3,734.85,742.45,730.85,737.7,739.9,738.36,7678864,5.66973E+14,,,
1/20/2020,AXISBANK,EQ,739.9,742.95,746.2,725,727.1,727.2,732.55,10677371,7.8217E+14,,,
1/21/2020,AXISBANK,EQ,727.2,726.35,729.6,716.05,717.45,717.6,722.46,8242803,5.95509E+14,,,
1/22/2020,AXISBANK,EQ,717.6,717,722.75,706.6,709.3,712.6,712.36,13321307,9.48954E+14,,,
